Winner,SecondD,B365W,Tournament,Round
Kohlschreiber P.,15/01/2019,1.03,Australian Open,1st Round
Mathieu P.H.,3/9/2004,2.75,US Open,2nd Round
Mathieu P.H.,30/08/04,1.909,US Open,1st Round
Mathieu P.H.,24/05/05,1.83,French Open,1st Round
Mathieu P.H.,26/05/05,1.14,French Open,2nd Round
Mathieu P.H.,30/08/06,1.14,US Open,1st Round
Mathieu P.H.,1/6/2006,1.53,French Open,2nd Round
Mathieu P.H.,30/05/06,1.16,French Open,1st Round
Mathieu P.H.,17/01/06,2,Australian Open,1st Round
Mathieu P.H.,19/01/06,1.39,Australian Open,2nd Round
Mathieu P.H.,21/01/06,1.61,Australian Open,3rd Round
Mathieu P.H.,25/06/07,2.1,Wimbledon,1st Round
Mathieu P.H.,28/06/07,1.72,Wimbledon,2nd Round
Mathieu P.H.,29/06/07,2.4,Wimbledon,3rd Round
Mathieu P.H.,1/6/2007,1.33,French Open,2nd Round
Mathieu P.H.,29/05/07,1.22,French Open,1st Round
Mathieu P.H.,26/08/08,1.22,US Open,1st Round
Mathieu P.H.,24/06/08,1.01,Wimbledon,1st Round
Mathieu P.H.,26/06/08,1.36,Wimbledon,2nd Round
Mathieu P.H.,25/05/08,1.02,French Open,1st Round
Mathieu P.H.,28/05/08,1.2,French Open,2nd Round
Mathieu P.H.,30/05/08,1.7,French Open,3rd Round
Mathieu P.H.,14/01/08,1.16,Australian Open,1st Round
Mathieu P.H.,16/01/08,1.12,Australian Open,2nd Round
Mathieu P.H.,18/01/08,1.5,Australian Open,3rd Round
Mathieu P.H.,23/06/09,1.36,Wimbledon,1st Round
Mathieu P.H.,25/05/09,1.14,French Open,1st Round
Mathieu P.H.,28/05/09,1.12,French Open,2nd Round
Mathieu P.H.,19/01/09,2,Australian Open,1st Round
Mathieu P.H.,2/9/2010,1.25,US Open,2nd Round
Mathieu P.H.,30/08/10,4,US Open,1st Round
Mathieu P.H.,22/06/10,2.37,Wimbledon,1st Round
Mathieu P.H.,25/06/10,4.33,Wimbledon,2nd Round
Mathieu P.H.,26/06/10,2.1,Wimbledon,3rd Round
Mathieu P.H.,27/08/12,1.36,US Open,1st Round
Mathieu P.H.,28/05/12,1.28,French Open,1st Round
Mathieu P.H.,31/05/12,4.5,French Open,2nd Round
Mathieu P.H.,25/06/13,2.1,Wimbledon,1st Round
Mathieu P.H.,25/08/14,2.75,US Open,1st Round
Mathieu P.H.,30/08/16,1.33,US Open,1st Round
Mathieu P.H.,24/05/16,1.57,French Open,1st Round
Mayer F.,31/08/04,1.533,US Open,1st Round
Mayer F.,22/06/04,2.375,Wimbledon,1st Round
Mayer F.,25/06/04,2.625,Wimbledon,2nd Round
Mayer F.,27/06/04,2.2,Wimbledon,3rd Round
Mayer F.,28/06/04,2.375,Wimbledon,4th Round
Mayer F.,24/05/04,4.333,French Open,1st Round
Mayer F.,20/01/04,NA,Australian Open,1st Round
Mayer F.,20/06/05,1.06,Wimbledon,1st Round
Mayer F.,22/06/05,2,Wimbledon,2nd Round
Mayer F.,30/08/06,1.36,US Open,1st Round
Mayer F.,28/06/06,1.33,Wimbledon,1st Round
Mayer F.,17/01/06,1.44,Australian Open,1st Round
Mayer F.,26/06/07,1.22,Wimbledon,1st Round
Mayer F.,16/01/07,5.5,Australian Open,1st Round
Mayer F.,18/01/07,1.5,Australian Open,2nd Round
Mayer F.,19/01/09,1.25,Australian Open,1st Round
Mayer F.,21/06/10,7,Wimbledon,1st Round
Mayer F.,23/06/10,3.4,Wimbledon,2nd Round
Mayer F.,18/01/10,1.4,Australian Open,1st Round
Mayer F.,20/01/10,2.75,Australian Open,2nd Round
Mayer F.,3/9/2011,1.1,US Open,2nd Round
Mayer F.,30/08/11,1.36,US Open,1st Round
Mayer F.,21/06/11,1.03,Wimbledon,1st Round
Mayer F.,24/05/11,1.05,French Open,1st Round
Mayer F.,17/01/11,4.5,Australian Open,1st Round
Mayer F.,3/7/2012,4.5,Wimbledon,4th Round
Mayer F.,25/06/12,1.38,Wimbledon,1st Round
Mayer F.,27/06/12,1.53,Wimbledon,2nd Round
Mayer F.,29/06/12,1.44,Wimbledon,3rd Round
Mayer F.,29/05/12,1.22,French Open,1st Round
Mayer F.,27/08/13,2.1,US Open,1st Round
Mayer F.,30/08/13,1.53,US Open,2nd Round
Mayer F.,15/01/13,1.14,Australian Open,1st Round
Mayer F.,13/01/14,1.28,Australian Open,1st Round
Mayer F.,15/01/14,2.5,Australian Open,2nd Round
Mayer F.,17/01/14,1.5,Australian Open,3rd Round
Mayer F.,28/08/17,1.5,US Open,1st Round
Mayer F.,3/7/2017,1.53,Wimbledon,1st Round
Mello R.,1/9/2004,4.5,US Open,1st Round
Mello R.,3/9/2004,1.533,US Open,2nd Round
Mello R.,29/08/05,1.8,US Open,1st Round
Mello R.,18/01/05,1.5,Australian Open,1st Round
Mello R.,30/08/10,1.53,US Open,1st Round
Mello R.,21/06/11,5,Wimbledon,1st Round
Mello R.,17/01/12,1.8,Australian Open,1st Round
Pavel A.,2/9/2004,1.727,US Open,2nd Round
Pavel A.,4/9/2004,1.444,US Open,3rd Round
Pavel A.,30/08/04,1.727,US Open,1st Round
Pavel A.,24/06/04,1.364,Wimbledon,1st Round
Pavel A.,24/05/04,1.143,French Open,1st Round
Pavel A.,20/01/04,2.625,Australian Open,1st Round
Pavel A.,22/01/04,1.25,Australian Open,2nd Round
Pavel A.,24/01/04,2.25,Australian Open,3rd Round
Pavel A.,21/06/05,1.72,Wimbledon,1st Round
Pavel A.,18/01/05,1.12,Australian Open,1st Round
Pavel A.,28/06/06,1.36,Wimbledon,1st Round
Pavel A.,16/01/06,3.75,Australian Open,1st Round
Pavel A.,28/08/07,1.33,US Open,1st Round
Pavel A.,26/06/07,1.12,Wimbledon,1st Round
Peya A.,3/9/2004,3.75,US Open,2nd Round
Peya A.,31/08/04,1.4,US Open,1st Round
Peya A.,22/06/04,1.667,Wimbledon,1st Round
Pless K.,1/9/2004,6.5,US Open,1st Round
Pless K.,28/08/06,1.66,US Open,1st Round
Pless K.,29/05/07,1.25,French Open,1st Round
Seppi A.,31/08/04,5,US Open,1st Round
Seppi A.,27/06/06,1.22,Wimbledon,1st Round
Seppi A.,26/06/07,1.5,Wimbledon,1st Round
Seppi A.,16/01/07,1.8,Australian Open,1st Round
Seppi A.,26/08/08,1.25,US Open,1st Round
Seppi A.,29/08/08,1.3,US Open,2nd Round
Seppi A.,23/06/08,1.08,Wimbledon,1st Round
Seppi A.,25/06/08,1.28,Wimbledon,2nd Round
Seppi A.,14/01/08,1.25,Australian Open,1st Round
Seppi A.,22/06/09,5.5,Wimbledon,1st Round
Seppi A.,25/06/09,1.53,Wimbledon,2nd Round
Seppi A.,26/05/09,1.44,French Open,1st Round
Seppi A.,22/06/10,2.37,Wimbledon,1st Round
Seppi A.,25/05/10,1.36,French Open,1st Round
Seppi A.,21/06/11,1.33,Wimbledon,1st Round
Seppi A.,22/05/11,1.36,French Open,1st Round
Seppi A.,18/01/11,1.5,Australian Open,1st Round
Seppi A.,1/6/2012,3.25,French Open,3rd Round
Seppi A.,28/05/12,1.5,French Open,1st Round
Seppi A.,30/05/12,1.28,French Open,2nd Round
Seppi A.,28/08/13,1.36,US Open,1st Round
Seppi A.,30/08/13,1.44,US Open,2nd Round
Seppi A.,25/06/13,1.44,Wimbledon,1st Round
Seppi A.,27/06/13,2.25,Wimbledon,2nd Round
Seppi A.,29/06/13,3.25,Wimbledon,3rd Round
Seppi A.,26/05/13,1.2,French Open,1st Round
Seppi A.,29/05/13,1.36,French Open,2nd Round
Seppi A.,15/01/13,1.2,Australian Open,1st Round
Seppi A.,17/01/13,1.5,Australian Open,2nd Round
Seppi A.,19/01/13,2.87,Australian Open,3rd Round
Seppi A.,25/08/14,1.61,US Open,1st Round
Seppi A.,27/05/14,2.37,French Open,1st Round
Seppi A.,29/05/14,2,French Open,2nd Round
Seppi A.,14/01/14,4,Australian Open,1st Round
Seppi A.,2/9/2015,1.4,US Open,2nd Round
Seppi A.,31/08/15,1.16,US Open,1st Round
Seppi A.,2/7/2015,1.22,Wimbledon,2nd Round
Seppi A.,30/06/15,1.11,Wimbledon,1st Round
Seppi A.,19/01/15,1.53,Australian Open,1st Round
Seppi A.,21/01/15,2.62,Australian Open,2nd Round
Seppi A.,23/01/15,17,Australian Open,3rd Round
Seppi A.,29/08/16,1.5,US Open,1st Round
Seppi A.,27/06/16,1.3,Wimbledon,1st Round
Seppi A.,18/01/16,1.61,Australian Open,1st Round
Seppi A.,20/01/16,1.33,Australian Open,2nd Round
Seppi A.,3/7/2017,1.2,Wimbledon,1st Round
Seppi A.,29/05/17,1.66,French Open,1st Round
Seppi A.,16/01/17,1.36,Australian Open,1st Round
Seppi A.,18/01/17,8,Australian Open,2nd Round
Seppi A.,20/01/17,1.66,Australian Open,3rd Round
Seppi A.,27/08/2018,3.5,US Open,1st Round
Seppi A.,2/7/2018,1.44,Wimbledon,1st Round
Seppi A.,15/01/18,1.33,Australian Open,1st Round
Seppi A.,17/01/18,1.57,Australian Open,2nd Round
Seppi A.,19/01/18,1.53,Australian Open,3rd Round
Seppi A.,1/7/2019,2,Wimbledon,1st Round
Seppi A.,14/01/2019,1.8,Australian Open,1st Round
Seppi A.,16/01/2019,1.66,Australian Open,2nd Round
Starace P.,30/08/04,1.83,US Open,1st Round
Starace P.,25/05/04,1.57,French Open,1st Round
Starace P.,27/05/04,4.5,French Open,2nd Round
Starace P.,27/05/07,1.1,French Open,1st Round
Starace P.,30/05/07,1.16,French Open,2nd Round
Starace P.,23/06/09,2.25,Wimbledon,1st Round
Starace P.,25/05/09,2,French Open,1st Round
Starace P.,25/05/10,1.14,French Open,1st Round
Starace P.,30/08/11,2.25,US Open,1st Round
Tabara M.,2/9/2004,6.5,US Open,2nd Round
Tabara M.,30/08/04,5,US Open,1st Round
Tabara M.,17/01/05,2.75,Australian Open,1st Round
Volandri F.,31/08/04,1.44,US Open,1st Round
Volandri F.,21/06/04,2.75,Wimbledon,1st Round
Volandri F.,20/01/04,2.5,Australian Open,1st Round
Volandri F.,24/05/05,1.08,French Open,1st Round
Volandri F.,26/05/05,1.16,French Open,2nd Round
Volandri F.,29/05/06,1.11,French Open,1st Round
Volandri F.,1/6/2007,2.5,French Open,3rd Round
Volandri F.,29/05/07,1.14,French Open,1st Round
Volandri F.,30/05/07,1.22,French Open,2nd Round
Andreev I.,24/06/04,1.25,Wimbledon,1st Round
Andreev I.,25/05/04,1.333,French Open,1st Round
Andreev I.,27/05/04,5,French Open,2nd Round
Andreev I.,29/05/04,1.909,French Open,3rd Round
Andreev I.,29/08/05,1.28,US Open,1st Round
Andreev I.,21/06/05,2.75,Wimbledon,1st Round
Andreev I.,23/06/05,1.53,Wimbledon,2nd Round
Andreev I.,24/05/05,1.11,French Open,1st Round
Andreev I.,26/05/05,2,French Open,2nd Round
Andreev I.,18/01/05,1.3,Australian Open,1st Round
Andreev I.,17/01/06,1.19,Australian Open,1st Round
Andreev I.,19/01/06,1.22,Australian Open,2nd Round
Andreev I.,27/08/07,1.16,US Open,1st Round
Andreev I.,1/6/2007,1.36,French Open,2nd Round
Andreev I.,2/6/2007,1.57,French Open,3rd Round
Andreev I.,4/6/2007,1.57,French Open,4th Round
Andreev I.,29/05/07,1.53,French Open,1st Round
Andreev I.,26/08/08,1.36,US Open,1st Round
Andreev I.,29/08/08,1.2,US Open,2nd Round
Andreev I.,31/08/08,1.83,US Open,3rd Round
Andreev I.,23/06/08,1.12,Wimbledon,1st Round
Andreev I.,28/05/08,1.3,French Open,1st Round
Andreev I.,14/01/08,1.33,Australian Open,1st Round
Andreev I.,16/01/08,1.57,Australian Open,2nd Round
Andreev I.,22/06/09,1.44,Wimbledon,1st Round
Andreev I.,24/06/09,1.28,Wimbledon,2nd Round
Andreev I.,27/06/09,1.8,Wimbledon,3rd Round
Andreev I.,25/05/09,1.53,French Open,1st Round
Andreev I.,28/05/09,1.38,French Open,2nd Round
Andreev I.,20/01/09,1.07,Australian Open,1st Round
Andreev I.,22/01/09,2.37,Australian Open,2nd Round
Andreev I.,30/08/10,1.44,US Open,1st Round
Andreev I.,21/06/11,1.44,Wimbledon,1st Round
Andreev I.,23/05/11,1.5,French Open,1st Round
Andreev I.,17/01/11,1.06,Australian Open,1st Round
Andreev I.,25/06/12,1.36,Wimbledon,1st Round
Benneteau J.,24/06/04,1.533,Wimbledon,1st Round
Benneteau J.,25/05/04,2.375,French Open,1st Round
Benneteau J.,27/05/04,3.25,French Open,2nd Round
Benneteau J.,28/06/06,1.57,Wimbledon,1st Round
Benneteau J.,1/6/2006,3.25,French Open,2nd Round
Benneteau J.,3/6/2006,4,French Open,3rd Round
Benneteau J.,5/6/2006,2.37,French Open,4th Round
Benneteau J.,30/05/06,1.83,French Open,1st Round
Benneteau J.,16/01/06,1.39,Australian Open,1st Round
Benneteau J.,18/01/06,2.5,Australian Open,2nd Round
Benneteau J.,28/05/08,1.14,French Open,1st Round
Benneteau J.,30/05/08,1.28,French Open,2nd Round
Benneteau J.,31/05/08,5.5,French Open,3rd Round
Benneteau J.,1/9/2009,1.14,US Open,1st Round
Benneteau J.,4/9/2009,1.5,US Open,2nd Round
Benneteau J.,31/08/10,1.53,US Open,1st Round
Benneteau J.,22/06/10,1.16,Wimbledon,1st Round
Benneteau J.,24/06/10,1.66,Wimbledon,2nd Round
Benneteau J.,26/06/10,1.3,Wimbledon,3rd Round
Benneteau J.,23/05/10,6.5,French Open,1st Round
Benneteau J.,19/01/10,1.22,Australian Open,1st Round
Benneteau J.,2/9/2011,1.25,US Open,2nd Round
Benneteau J.,31/08/11,2.75,US Open,1st Round
Benneteau J.,20/06/11,1.5,Wimbledon,1st Round
Benneteau J.,22/05/11,1.28,French Open,1st Round
Benneteau J.,28/08/12,1.22,US Open,1st Round
Benneteau J.,31/08/12,1.05,US Open,2nd Round
Benneteau J.,25/06/12,1.72,Wimbledon,1st Round
Benneteau J.,27/06/12,1.18,Wimbledon,2nd Round
Benneteau J.,29/05/12,1.57,French Open,1st Round
Benneteau J.,31/05/12,1.3,French Open,2nd Round
Benneteau J.,17/01/12,1.08,Australian Open,1st Round
Benneteau J.,19/01/12,2.2,Australian Open,2nd Round
Benneteau J.,27/08/13,1.11,US Open,1st Round
Benneteau J.,30/08/13,1.5,US Open,2nd Round
Benneteau J.,24/06/13,1.25,Wimbledon,1st Round
Benneteau J.,27/05/13,1.28,French Open,1st Round
Benneteau J.,29/05/13,1.33,French Open,2nd Round
Benneteau J.,14/01/13,2.5,Australian Open,1st Round
Benneteau J.,16/01/13,1.18,Australian Open,2nd Round
Benneteau J.,13/01/14,1.3,Australian Open,1st Round
Benneteau J.,27/06/16,1.9,Wimbledon,1st Round
Benneteau J.,28/08/2018,2.3,US Open,1st Round
Benneteau J.,3/7/2018,1.61,Wimbledon,1st Round
Benneteau J.,30/05/18,3.75,French Open,1st Round
Benneteau J.,16/01/18,1.53,Australian Open,1st Round
Benneteau J.,18/01/18,8,Australian Open,2nd Round
Bracciali D.,21/06/04,2.75,Wimbledon,1st Round
Bracciali D.,21/06/05,4,Wimbledon,1st Round
Bracciali D.,27/06/06,1.72,Wimbledon,1st Round
Bracciali D.,29/06/06,1.22,Wimbledon,2nd Round
Bracciali D.,16/01/06,1.72,Australian Open,1st Round
Falla A.,21/06/04,2.1,Wimbledon,1st Round
Falla A.,25/05/04,1.14,French Open,1st Round
Falla A.,30/08/06,2.25,US Open,1st Round
Falla A.,28/06/06,2.75,Wimbledon,1st Round
Falla A.,29/05/06,1.5,French Open,1st Round
Falla A.,25/06/07,1.66,Wimbledon,1st Round
Falla A.,28/05/08,3.75,French Open,1st Round
Falla A.,14/01/08,1.36,Australian Open,1st Round
Falla A.,23/05/10,1.57,French Open,1st Round
Falla A.,19/01/10,1.25,Australian Open,1st Round
Falla A.,21/01/10,1.83,Australian Open,2nd Round
Falla A.,29/08/11,6.5,US Open,1st Round
Falla A.,23/05/11,4,French Open,1st Round
Falla A.,26/05/11,5,French Open,2nd Round
Falla A.,28/05/11,2,French Open,3rd Round
Falla A.,25/06/12,6,Wimbledon,1st Round
Falla A.,28/06/12,3,Wimbledon,2nd Round
Falla A.,16/01/12,1.38,Australian Open,1st Round
Falla A.,18/01/12,8,Australian Open,2nd Round
Falla A.,15/01/13,1.28,Australian Open,1st Round
Falla A.,13/01/14,1.66,Australian Open,1st Round
Heuberger I.,22/06/04,2.25,Wimbledon,1st Round
Hilton M.,24/06/04,2.5,Wimbledon,1st Round
Ivanisevic G.,21/06/04,2.625,Wimbledon,1st Round
Ivanisevic G.,24/06/04,1.364,Wimbledon,2nd Round
Labadze I.,22/06/04,1.5,Wimbledon,1st Round
Labadze I.,24/05/04,NA,French Open,1st Round
Labadze I.,1/7/2006,4.5,Wimbledon,3rd Round
Labadze I.,28/06/06,1.83,Wimbledon,1st Round
Labadze I.,29/06/06,3.39,Wimbledon,2nd Round
Lu Y.H.,22/06/04,2.1,Wimbledon,1st Round
Lu Y.H.,21/06/05,3.25,Wimbledon,1st Round
Lu Y.H.,15/01/07,2.2,Australian Open,1st Round
Lu Y.H.,26/08/08,2.1,US Open,1st Round
Lu Y.H.,19/01/09,1.57,Australian Open,1st Round
Lu Y.H.,21/01/09,11,Australian Open,2nd Round
Lu Y.H.,21/06/10,1.72,Wimbledon,1st Round
Lu Y.H.,23/06/10,1.53,Wimbledon,2nd Round
Lu Y.H.,25/06/10,3.75,Wimbledon,3rd Round
Lu Y.H.,28/06/10,12,Wimbledon,4th Round
Lu Y.H.,21/06/11,1.61,Wimbledon,1st Round
Lu Y.H.,23/06/11,4,Wimbledon,2nd Round
Lu Y.H.,16/01/12,1.33,Australian Open,1st Round
Lu Y.H.,18/01/12,1.44,Australian Open,2nd Round
Lu Y.H.,27/08/13,1.36,US Open,1st Round
Lu Y.H.,24/06/13,1.36,Wimbledon,1st Round
Lu Y.H.,28/05/13,1.33,French Open,1st Round
Lu Y.H.,15/01/13,1.06,Australian Open,1st Round
Lu Y.H.,24/06/14,1.18,Wimbledon,1st Round
Lu Y.H.,14/01/14,1.22,Australian Open,1st Round
Lu Y.H.,26/05/15,1.83,French Open,1st Round
Lu Y.H.,28/06/16,1.16,Wimbledon,1st Round
Lu Y.H.,28/08/17,3,US Open,1st Round
Pescosolido S.,24/06/04,1.727,Wimbledon,1st Round
Corretja A.,24/05/04,1.25,French Open,1st Round
Corretja A.,26/05/04,1.286,French Open,2nd Round
Corretja A.,20/01/04,2.5,Australian Open,1st Round
Elsner D.,25/05/04,2.1,French Open,1st Round
Garcia-Lopez G.,24/05/04,1.364,French Open,1st Round
Garcia-Lopez G.,21/06/05,2,Wimbledon,1st Round
Garcia-Lopez G.,17/01/05,6.5,Australian Open,1st Round
Garcia-Lopez G.,28/06/06,1.9,Wimbledon,1st Round
Garcia-Lopez G.,16/01/06,5,Australian Open,1st Round
Garcia-Lopez G.,30/05/07,4.5,French Open,1st Round
Garcia-Lopez G.,15/01/07,3.75,Australian Open,1st Round
Garcia-Lopez G.,26/08/08,1.61,US Open,1st Round
Garcia-Lopez G.,24/06/08,1.66,Wimbledon,1st Round
Garcia-Lopez G.,26/06/08,2.62,Wimbledon,2nd Round
Garcia-Lopez G.,26/05/08,1.53,French Open,1st Round
Garcia-Lopez G.,14/01/08,3.75,Australian Open,1st Round
Garcia-Lopez G.,16/01/08,1.66,Australian Open,2nd Round
Garcia-Lopez G.,31/08/09,1.44,US Open,1st Round
Garcia-Lopez G.,22/06/09,1.08,Wimbledon,1st Round
Garcia-Lopez G.,19/01/09,2.1,Australian Open,1st Round
Garcia-Lopez G.,1/9/2010,2,US Open,1st Round
Garcia-Lopez G.,23/05/10,1.11,French Open,1st Round
Garcia-Lopez G.,31/08/11,1.61,US Open,1st Round
Garcia-Lopez G.,21/06/11,1.36,Wimbledon,1st Round
Garcia-Lopez G.,22/05/11,1.1,French Open,1st Round
Garcia-Lopez G.,25/05/11,1.22,French Open,2nd Round
Garcia-Lopez G.,18/01/11,1.33,Australian Open,1st Round
Garcia-Lopez G.,20/01/11,1.14,Australian Open,2nd Round
Garcia-Lopez G.,28/08/12,4.5,US Open,1st Round
Garcia-Lopez G.,26/06/12,3,Wimbledon,1st Round
Garcia-Lopez G.,26/08/14,2.62,US Open,1st Round
Garcia-Lopez G.,26/05/14,7,French Open,1st Round
Garcia-Lopez G.,29/05/14,1.12,French Open,2nd Round
Garcia-Lopez G.,31/05/14,1.16,French Open,3rd Round
Garcia-Lopez G.,13/01/14,2.5,Australian Open,1st Round
Garcia-Lopez G.,1/9/2015,1.44,US Open,1st Round
Garcia-Lopez G.,3/9/2015,2,US Open,2nd Round
Garcia-Lopez G.,20/01/15,2.1,Australian Open,1st Round
Garcia-Lopez G.,22/01/15,1.4,Australian Open,2nd Round
Garcia-Lopez G.,24/01/15,1.57,Australian Open,3rd Round
Garcia-Lopez G.,24/05/16,1.18,French Open,1st Round
Garcia-Lopez G.,18/01/16,1.4,Australian Open,1st Round
Garcia-Lopez G.,20/01/16,1.36,Australian Open,2nd Round
Garcia-Lopez G.,28/05/17,3,French Open,1st Round
Garcia-Lopez G.,31/05/17,1.57,French Open,2nd Round
Garcia-Lopez G.,2/7/2018,1.11,Wimbledon,1st Round
Garcia-Lopez G.,28/05/18,2.2,French Open,1st Round
Garcia-Lopez G.,16/01/18,2.75,Australian Open,1st Round
Haehnel J.,24/05/04,9,French Open,1st Round
Jeanpierre J.,24/05/04,2.25,French Open,1st Round
Jeanpierre J.,26/05/04,2.75,French Open,2nd Round
Monaco J.,24/05/04,NA,French Open,1st Round
Monaco J.,2/6/2006,2.62,French Open,2nd Round
Monaco J.,30/05/06,1.36,French Open,1st Round
Monaco J.,17/01/06,1.5,Australian Open,1st Round
Monaco J.,2/9/2007,2.25,US Open,3rd Round
Monaco J.,28/08/07,1.16,US Open,1st Round
Monaco J.,31/08/07,1.28,US Open,2nd Round
Monaco J.,1/6/2007,1.08,French Open,3rd Round
Monaco J.,29/05/07,1.1,French Open,1st Round
Monaco J.,30/05/07,1.4,French Open,2nd Round
Monaco J.,15/01/08,1.11,Australian Open,1st Round
Monaco J.,17/01/08,1.22,Australian Open,2nd Round
Monaco J.,26/05/09,1.16,French Open,1st Round
Monaco J.,19/01/10,2.25,Australian Open,1st Round
Monaco J.,21/01/10,1.33,Australian Open,2nd Round
Monaco J.,1/9/2011,4,US Open,2nd Round
Monaco J.,3/9/2011,1.36,US Open,3rd Round
Monaco J.,29/08/11,1.25,US Open,1st Round
Monaco J.,17/01/11,NA,Australian Open,1st Round
Monaco J.,25/06/12,1.4,Wimbledon,1st Round
Monaco J.,27/06/12,1.57,Wimbledon,2nd Round
Monaco J.,2/6/2012,1.9,French Open,3rd Round
Monaco J.,29/05/12,1.07,French Open,1st Round
Monaco J.,31/05/12,1.12,French Open,2nd Round
Monaco J.,24/06/13,1.22,Wimbledon,1st Round
Monaco J.,26/06/13,1.22,Wimbledon,2nd Round
Monaco J.,27/05/14,1.12,French Open,1st Round
Monaco J.,29/06/15,3.4,Wimbledon,1st Round
Monaco J.,25/05/15,1.66,French Open,1st Round
Monaco J.,28/06/16,1.2,Wimbledon,1st Round
Monaco J.,24/05/16,1.28,French Open,1st Round
Patience O.,25/05/04,3.75,French Open,1st Round
Patience O.,19/01/04,2.75,Australian Open,1st Round
Patience O.,21/01/04,2.75,Australian Open,2nd Round
Patience O.,23/05/05,1.9,French Open,1st Round
Patience O.,29/05/07,1.2,French Open,1st Round
Patience O.,31/05/07,2.75,French Open,2nd Round
Voltchkov V.,24/05/04,3,French Open,1st Round
Ascione T.,20/01/04,2.25,Australian Open,1st Round
Ascione T.,29/05/07,2.2,French Open,1st Round
Guccione C.,19/01/04,1.44,Australian Open,1st Round
Guccione C.,24/05/05,3,French Open,1st Round
Guccione C.,27/08/08,1.9,US Open,1st Round
Guccione C.,20/01/09,1.33,Australian Open,1st Round
Morrison J.,20/01/04,1.533,Australian Open,1st Round
Reid T.,20/01/04,1.25,Australian Open,1st Round
Reid T.,22/01/04,2.1,Australian Open,2nd Round
Vacek J.,20/01/04,1.727,Australian Open,1st Round
Weiner G.,20/01/04,2.2,Australian Open,1st Round
Almagro N.,31/08/05,2.25,US Open,1st Round
Almagro N.,23/05/05,1.12,French Open,1st Round
Almagro N.,29/05/06,1.07,French Open,1st Round
Almagro N.,27/08/07,1.16,US Open,1st Round
Almagro N.,30/08/07,1.28,US Open,2nd Round
Almagro N.,29/05/07,1.01,French Open,1st Round
Almagro N.,27/08/08,1.7,US Open,1st Round
Almagro N.,29/08/08,1.16,US Open,2nd Round
Almagro N.,24/06/08,1.3,Wimbledon,1st Round
Almagro N.,1/6/2008,1.14,French Open,4th Round
Almagro N.,25/05/08,1.06,French Open,1st Round
Almagro N.,28/05/08,1.04,French Open,2nd Round
Almagro N.,30/05/08,1.44,French Open,3rd Round
Almagro N.,2/9/2009,1.28,US Open,1st Round
Almagro N.,4/9/2009,2,US Open,2nd Round
Almagro N.,22/06/09,1.61,Wimbledon,1st Round
Almagro N.,24/06/09,1.9,Wimbledon,2nd Round
Almagro N.,24/05/09,1.14,French Open,1st Round
Almagro N.,27/05/09,1.66,French Open,2nd Round
Almagro N.,20/01/09,1.28,Australian Open,1st Round
Almagro N.,22/01/09,1.28,Australian Open,2nd Round
Almagro N.,1/9/2010,1.16,US Open,1st Round
Almagro N.,3/9/2010,1.5,US Open,2nd Round
Almagro N.,24/05/10,1.02,French Open,1st Round
Almagro N.,28/05/10,1.08,French Open,2nd Round
Almagro N.,29/05/10,1.22,French Open,3rd Round
Almagro N.,31/05/10,2.2,French Open,4th Round
Almagro N.,19/01/10,1.9,Australian Open,1st Round
Almagro N.,21/01/10,1.66,Australian Open,2nd Round
Almagro N.,23/01/10,1.66,Australian Open,3rd Round
Almagro N.,21/06/11,1.57,Wimbledon,1st Round
Almagro N.,23/06/11,2.75,Wimbledon,2nd Round
Almagro N.,17/01/11,1.1,Australian Open,1st Round
Almagro N.,19/01/11,1.44,Australian Open,2nd Round
Almagro N.,21/01/11,1.83,Australian Open,3rd Round
Almagro N.,1/9/2012,1.22,US Open,3rd Round
Almagro N.,28/08/12,1.83,US Open,1st Round
Almagro N.,30/08/12,1.14,US Open,2nd Round
Almagro N.,26/06/12,1.18,Wimbledon,1st Round
Almagro N.,27/06/12,1.16,Wimbledon,2nd Round
Almagro N.,2/6/2012,1.08,French Open,3rd Round
Almagro N.,4/6/2012,1.44,French Open,4th Round
Almagro N.,29/05/12,1.02,French Open,1st Round
Almagro N.,31/05/12,1.1,French Open,2nd Round
Almagro N.,16/01/12,1.3,Australian Open,1st Round
Almagro N.,18/01/12,1.66,Australian Open,2nd Round
Almagro N.,20/01/12,3.25,Australian Open,3rd Round
Almagro N.,24/06/13,1.06,Wimbledon,1st Round
Almagro N.,26/06/13,1.12,Wimbledon,2nd Round
Almagro N.,27/05/13,1.05,French Open,1st Round
Almagro N.,29/05/13,1.16,French Open,2nd Round
Almagro N.,31/05/13,1.16,French Open,3rd Round
Almagro N.,14/01/13,1.14,Australian Open,1st Round
Almagro N.,16/01/13,1.08,Australian Open,2nd Round
Almagro N.,18/01/13,1.4,Australian Open,3rd Round
Almagro N.,20/01/13,1.72,Australian Open,4th Round
Almagro N.,26/05/15,1.5,French Open,1st Round
Almagro N.,29/08/16,1.44,US Open,1st Round
Almagro N.,31/08/16,2.25,US Open,2nd Round
Almagro N.,27/06/16,1.12,Wimbledon,1st Round
Almagro N.,24/05/16,2.75,French Open,1st Round
Almagro N.,26/05/16,1.36,French Open,2nd Round
Almagro N.,18/01/16,1.22,Australian Open,1st Round
Almagro N.,30/05/17,1.44,French Open,1st Round
Baker B.,29/08/05,6,US Open,1st Round
