ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Massu N.,Sargsian S.,29,92,7,6,6,3,6,4,,,,,3,0,Completed,,,,,,,,,1.405,3.27
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Philippoussis M.,Beck K.,142,43,7,5,6,4,6,2,,,,,3,0,Completed,1.66,2.1,1.7,2.1,1.75,2,1.7,1.9,1.85,2.08
36,London,Wimbledon,20/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Mayer F.,Ventura S.,57,110,6,4,7,5,6,2,,,,,3,0,Completed,1.06,8,1.08,7.25,1.1,6.75,1.05,6,1.09,9.68
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Murray A.,Bastl G.,312,146,6,4,6,2,6,2,,,,,3,0,Completed,,,,,,,1.5,2.2,,
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Coria G.,Behrend T.,18,84,6,1,6,2,6,2,,,,,3,0,Completed,1.14,5,1.15,5.25,1.15,5.5,1.1,5,1.17,6.33
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Santoro F.,Wawrinka S.,53,74,6,2,6,7,7,5,6,1,,,3,1,Completed,1.44,2.62,1.37,3,1.45,2.6,1.45,2.35,1.48,2.9
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Stepanek R.,Ginepri R.,13,73,6,7,6,3,6,3,6,2,,,3,1,Completed,1.33,3.25,1.3,3.4,1.25,3.9,1.3,2.9,1.32,3.83
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Calatrava A.,Ketola T.,125,225,6,4,7,6,6,4,,,,,3,0,Completed,4,1.22,4.65,1.18,4.06,1.21,3.6,1.2,5.15,1.22
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Novak J.,Wessels P.,28,79,7,6,6,3,6,4,,,,,3,0,Completed,1.57,2.25,1.5,2.55,1.55,2.35,1.5,2.2,1.61,2.53
36,London,Wimbledon,21/06/05,Grand Slam,Outdoor,Grass,1st Round,5,Bracciali D.,Karlovic I.,120,56,6,7,7,6,3,6,7,6,12,10,3,2,Completed,4,1.22,3.85,1.25,3.9,1.25,2.7,1.35,4.15,1.28
