ATP,Tournament,Tournament_Int,Date,Series,Series_Int,Court,Court_Int,Surface,Surface_Int,Round,Round_Int,Best_of,Winner,Winner_Int,Player1,Player1_Int,Player2,Player2_Int,Player1_Rank,Player2_Rank,Player1_Odds,Player2_Odds,Player1_Implied_Prob,Player2_Implied_Prob
2,ChennaiOpen,1.5486,42740,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,PaireB.,6.3788,PaireB.,6.3788,BhambriY.,6.2194,47,474,1.48,2.6,0.6757,0.3846
2,ChennaiOpen,1.5486,42740,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,BedeneA.,6.265,KlizanM.,6.3104,BedeneA.,6.265,35,101,2.34,1.58,0.4274,0.6329
2,ChennaiOpen,1.5486,42741,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Quarterfinals,5.6489,3,MedvedevD.,6.9238,MedvedevD.,6.9238,KovalikJ.,6.7179,99,117,1.41,2.86,0.7092,0.3497
2,ChennaiOpen,1.5486,42741,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Quarterfinals,5.6489,3,SelaD.,6.4601,RamosVinolasA.,6.2112,SelaD.,6.4601,27,96,1.47,2.63,0.6803,0.3802
2,ChennaiOpen,1.5486,42741,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Quarterfinals,5.6489,3,PaireB.,6.3788,PaireB.,6.3788,BedeneA.,6.265,47,101,1.66,2.19,0.6024,0.4566
2,ChennaiOpen,1.5486,42741,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Quarterfinals,5.6489,3,BautistaAgutR.,6.2761,YouzhnyM.,6.6727,BautistaAgutR.,6.2761,57,14,3.94,1.24,0.2538,0.8065
2,ChennaiOpen,1.5486,42742,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Semifinals,5.2101,3,MedvedevD.,6.9238,MedvedevD.,6.9238,SelaD.,6.4601,99,96,1.64,2.23,0.6098,0.4484
2,ChennaiOpen,1.5486,42742,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Semifinals,5.2101,3,BautistaAgutR.,6.2761,PaireB.,6.3788,BautistaAgutR.,6.2761,47,14,2.71,1.45,0.369,0.6897
2,ChennaiOpen,1.5486,42743,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,TheFinal,5.3011,3,BautistaAgutR.,6.2761,BautistaAgutR.,6.2761,MedvedevD.,6.9238,14,99,1.29,3.62,0.7752,0.2762
3,QatarExxonMobilOpen,1.9727,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,BrownD.,6.8965,BagnisF.,6.6994,BrownD.,6.8965,56,72,3.1,1.36,0.3226,0.7353
