match_id,player_id,pts,rank,winner,sets,1,2,3,4,5,B365W,B365L,total_pts,service_pts,return_pts,aces,bp_saved,bp_faced,first_serve_rtn_won,second_serve_rtn_won,first_serve_in,dbl_faults,first_serve_per
m_2017_W_19,atp_105227,4235,6,TRUE,3,6,6,6,,,1.16,1.18,101,62,39,15,4,4,20,19,56,1,0.636363636
m_2017_W_20,atp_104745,7285,2,TRUE,3,6,6,6,,,1.04,1.06,91,48,43,5,2,4,23,20,47,0,0.671428571
m_2017_W_21,atp_104252,500,114,TRUE,1,6,,,,,1.55,1.61,28,16,12,2,0,0,7,5,13,0,0.764705882
m_2017_W_22,atp_105379,853,58,TRUE,3,6,7,6,7,8,2.75,3,208,158,50,27,8,8,20,30,130,5,0.643564356
m_2017_W_23,atp_104926,1430,29,TRUE,3,6,6,6,,,1.11,1.14,93,45,48,10,1,3,32,16,42,6,0.617647059
m_2017_W_24,atp_104586,249,214,TRUE,3,4,7,6,6,,1.29,1.33,130,88,42,7,6,7,14,28,72,8,0.576
m_2017_W_25,atp_104180,1675,26,TRUE,3,7,6,6,,,1.13,1.15,105,64,41,8,1,1,15,26,58,2,0.644444444
m_2017_W_26,atp_105074,457,124,TRUE,3,6,3,6,7,,2.86,3,145,86,59,6,7,9,27,32,92,3,0.713178295
m_2017_W_27,atp_106210,950,48,TRUE,3,6,4,4,7,6,1.5,1.54,146,95,51,5,8,12,22,29,97,5,0.655405405
m_2017_W_28,atp_106421,922,49,TRUE,3,6,3,6,6,,3.18,3.48,121,77,44,10,4,6,22,22,71,7,0.63963964
m_2017_W_29,atp_106000,635,83,TRUE,3,6,6,6,,,1.33,1.38,84,45,39,1,2,3,20,19,43,4,0.632352941
m_2017_W_30,atp_105449,1395,31,TRUE,3,6,7,6,,,1.03,1.05,101,72,29,12,5,5,22,7,63,2,0.63
m_2017_W_31,atp_106361,415,136,TRUE,3,6,6,6,6,,2.88,3.15,131,76,55,14,2,3,32,23,70,5,0.67961165
m_2017_W_32,atp_104327,831,61,TRUE,3,4,6,2,6,6,1.43,1.5,148,89,59,10,8,14,38,21,88,1,0.606896552
m_2017_W_33,atp_106378,898,50,TRUE,3,4,6,6,6,,1.11,1.15,115,69,46,8,1,2,25,21,48,5,0.494845361
m_2017_W_34,atp_103970,1005,39,TRUE,3,6,6,5,6,,6.65,8.5,133,89,44,1,5,6,24,20,85,5,0.653846154
m_2017_W_35,atp_105208,50,589,TRUE,3,6,6,6,,,1.71,1.77,86,47,39,8,6,6,20,19,44,4,0.656716418
m_2017_W_36,atp_105062,465,118,TRUE,3,4,6,7,6,,1.44,1.51,138,87,51,11,7,9,29,22,91,0,0.733870968
m_2017_W_37,atp_104022,640,82,TRUE,3,6,7,6,,,2.51,2.65,109,69,40,5,11,13,16,24,75,4,0.669642857
m_2017_W_38,atp_104999,1396,30,TRUE,3,6,6,6,,,2,2.11,94,56,38,18,0,0,29,9,48,3,0.75
m_2017_W_39,atp_105223,1325,32,TRUE,3,6,3,7,6,,1.2,1.27,133,88,45,17,2,4,14,31,91,3,0.728
m_2017_W_40,atp_105683,4150,7,TRUE,3,7,6,7,,,1.11,1.13,120,80,40,20,5,6,12,28,74,4,0.672727273
m_2017_W_41,atp_105077,1885,22,TRUE,3,6,6,7,,,2.15,2.4,113,74,39,3,5,6,16,23,86,4,0.747826087
m_2017_W_42,atp_126094,585,95,TRUE,3,6,6,7,1,7,1.22,1.26,173,107,66,10,5,10,30,36,107,5,0.636904762
m_2017_W_43,atp_104792,2695,14,TRUE,3,6,7,6,,,1.11,1.14,99,68,31,8,4,4,25,6,51,1,0.6
m_2017_W_44,atp_105430,513,108,TRUE,3,4,6,7,7,,1.18,1.21,173,100,73,4,7,11,38,35,110,3,0.714285714
m_2017_W_45,atp_104468,1095,36,TRUE,3,7,6,6,,,1.28,1.32,123,67,56,5,7,8,27,29,45,4,0.473684211
