Loser,Date,B365L,Tournament,Round
Nieminen J.,2/7/2007,2.5,Wimbledon,3rd Round
Nieminen J.,2/6/2007,3.25,French Open,3rd Round
Nieminen J.,18/01/07,1.61,Australian Open,2nd Round
Nieminen J.,1/9/2008,3.25,US Open,3rd Round
Nieminen J.,26/06/08,2.62,Wimbledon,2nd Round
Nieminen J.,30/05/08,21,French Open,3rd Round
Nieminen J.,22/01/08,9,Australian Open,Quarterfinals
Nieminen J.,4/9/2009,9,US Open,2nd Round
Nieminen J.,19/01/09,1.72,Australian Open,1st Round
Nieminen J.,31/08/10,1.36,US Open,1st Round
Nieminen J.,24/06/10,10,Wimbledon,2nd Round
Nieminen J.,25/05/10,4.5,French Open,1st Round
Nieminen J.,20/01/10,2,Australian Open,2nd Round
Nieminen J.,30/08/11,4.33,US Open,1st Round
Nieminen J.,21/06/11,2.25,Wimbledon,1st Round
Nieminen J.,22/05/11,8,French Open,1st Round
Nieminen J.,18/01/11,5.5,Australian Open,1st Round
Nieminen J.,31/08/12,8,US Open,2nd Round
Nieminen J.,28/06/12,2.1,Wimbledon,2nd Round
Nieminen J.,31/05/12,13,French Open,2nd Round
Nieminen J.,16/01/12,2.25,Australian Open,1st Round
Nieminen J.,30/08/13,1.28,US Open,2nd Round
Nieminen J.,25/06/13,2.62,Wimbledon,1st Round
Nieminen J.,29/05/13,6,French Open,2nd Round
Nieminen J.,17/01/13,1.38,Australian Open,2nd Round
Nieminen J.,26/08/14,2.37,US Open,1st Round
Nieminen J.,26/06/14,3.5,Wimbledon,2nd Round
Nieminen J.,28/05/14,2.1,French Open,2nd Round
Nieminen J.,15/01/14,2,Australian Open,2nd Round
Nieminen J.,31/08/15,10,US Open,1st Round
Nieminen J.,1/7/2015,34,Wimbledon,2nd Round
Nieminen J.,26/05/15,34,French Open,1st Round
Nieminen J.,24/01/15,9,Australian Open,3rd Round
Norman M.,27/08/03,1.833,US Open,1st Round
Norman M.,27/05/03,NA,French Open,1st Round
Novak J.,31/08/03,1.83,US Open,3rd Round
Novak J.,28/06/03,1.533,Wimbledon,3rd Round
Novak J.,1/6/2003,2.75,French Open,4th Round
Novak J.,18/01/03,NA,Australian Open,3rd Round
Novak J.,4/9/2004,4.5,US Open,3rd Round
Novak J.,22/06/04,1.5,Wimbledon,1st Round
Novak J.,27/05/04,2.5,French Open,2nd Round
Novak J.,24/01/04,1.571,Australian Open,3rd Round
Novak J.,1/9/2005,1.53,US Open,2nd Round
Novak J.,25/06/05,3,Wimbledon,3rd Round
Novak J.,25/05/05,1.83,French Open,2nd Round
Novak J.,4/9/2006,9,US Open,4th Round
Novak J.,27/06/06,2.75,Wimbledon,1st Round
Novak J.,29/05/06,1.39,French Open,1st Round
Philippoussis M.,31/08/03,1.66,US Open,3rd Round
Philippoussis M.,6/7/2003,2.625,Wimbledon,The Final
Philippoussis M.,28/05/03,4,French Open,2nd Round
Philippoussis M.,17/01/03,1.286,Australian Open,3rd Round
Philippoussis M.,1/9/2004,2,US Open,1st Round
Philippoussis M.,28/06/04,2.1,Wimbledon,4th Round
Philippoussis M.,24/05/04,2.375,French Open,1st Round
Philippoussis M.,26/01/04,1.2,Australian Open,4th Round
Philippoussis M.,31/08/05,1.5,US Open,1st Round
Philippoussis M.,22/06/05,2.75,Wimbledon,2nd Round
Philippoussis M.,30/08/06,8,US Open,1st Round
Philippoussis M.,28/06/06,2,Wimbledon,2nd Round
Philippoussis M.,17/01/06,3,Australian Open,1st Round
Popp A.,25/08/03,3,US Open,1st Round
Popp A.,3/7/2003,4,Wimbledon,Quarterfinals
Popp A.,26/05/03,3.75,French Open,1st Round
Popp A.,30/08/04,1.83,US Open,1st Round
Popp A.,28/06/04,6.5,Wimbledon,4th Round
Popp A.,24/05/04,2.75,French Open,1st Round
Popp A.,20/01/04,2.25,Australian Open,1st Round
Popp A.,30/08/05,1.66,US Open,1st Round
Popp A.,25/06/05,1.66,Wimbledon,3rd Round
Popp A.,24/05/05,7,French Open,1st Round
Portas A.,27/08/03,4.5,US Open,1st Round
Portas A.,23/06/03,2.625,Wimbledon,1st Round
Portas A.,29/05/03,4,French Open,2nd Round
Portas A.,14/01/03,5.5,Australian Open,1st Round
Portas A.,24/05/04,1.615,French Open,1st Round
Portas A.,19/01/04,3.5,Australian Open,1st Round
Portas A.,27/06/06,8,Wimbledon,1st Round
Portas A.,30/05/06,2.62,French Open,1st Round
Puerta M.,26/08/03,11,US Open,1st Round
Puerta M.,24/06/03,4.5,Wimbledon,1st Round
Puerta M.,28/05/03,1.833,French Open,2nd Round
Puerta M.,14/01/03,2.375,Australian Open,1st Round
Puerta M.,1/9/2005,1.39,US Open,2nd Round
Puerta M.,20/06/05,3.25,Wimbledon,1st Round
Puerta M.,5/6/2005,7,French Open,The Final
Ramirez-Hidalgo R.,25/08/03,2.25,US Open,1st Round
Ramirez-Hidalgo R.,22/06/04,13,Wimbledon,1st Round
Ramirez-Hidalgo R.,25/05/04,1.2,French Open,1st Round
Ramirez-Hidalgo R.,20/01/04,2,Australian Open,1st Round
Ramirez-Hidalgo R.,28/08/06,2.62,US Open,1st Round
Ramirez-Hidalgo R.,27/06/06,7,Wimbledon,1st Round
Ramirez-Hidalgo R.,5/6/2006,2.75,French Open,4th Round
Ramirez-Hidalgo R.,27/08/07,9,US Open,1st Round
Ramirez-Hidalgo R.,26/06/07,2,Wimbledon,1st Round
Ramirez-Hidalgo R.,29/05/07,1.61,French Open,1st Round
Ramirez-Hidalgo R.,15/01/07,8.5,Australian Open,1st Round
Ramirez-Hidalgo R.,31/08/09,9,US Open,1st Round
Ramirez-Hidalgo R.,1/9/2010,2.5,US Open,1st Round
Ramirez-Hidalgo R.,21/06/11,6,Wimbledon,1st Round
Ramirez-Hidalgo R.,25/05/11,5.5,French Open,2nd Round
Ramirez-Hidalgo R.,18/01/11,5,Australian Open,1st Round
Ramirez-Hidalgo R.,30/08/12,17,US Open,2nd Round
Ramirez-Hidalgo R.,26/06/12,5.5,Wimbledon,1st Round
Ramirez-Hidalgo R.,28/05/12,6,French Open,1st Round
Ramirez-Hidalgo R.,15/01/13,10,Australian Open,1st Round
Robredo T.,25/08/03,1.222,US Open,1st Round
Robredo T.,27/06/03,6.5,Wimbledon,3rd Round
Robredo T.,4/6/2003,2,French Open,Quarterfinals
Robredo T.,13/01/03,2.2,Australian Open,1st Round
Robredo T.,8/9/2004,8,US Open,4th Round
Robredo T.,25/06/04,1.667,Wimbledon,2nd Round
Robredo T.,30/05/04,3.75,French Open,4th Round
Robredo T.,19/01/04,1.4,Australian Open,1st Round
Robredo T.,5/9/2005,3.75,US Open,4th Round
Robredo T.,20/06/05,1.44,Wimbledon,1st Round
Robredo T.,1/6/2005,2.25,French Open,Quarterfinals
Robredo T.,21/01/05,1.5,Australian Open,3rd Round
Robredo T.,4/9/2006,1.39,US Open,4th Round
Robredo T.,29/06/06,2,Wimbledon,2nd Round
Robredo T.,4/6/2006,1.36,French Open,4th Round
Robredo T.,22/01/06,3,Australian Open,4th Round
Robredo T.,2/9/2007,1.28,US Open,3rd Round
Robredo T.,28/06/07,1.3,Wimbledon,2nd Round
Robredo T.,5/6/2007,11,French Open,Quarterfinals
Robredo T.,23/01/07,17,Australian Open,Quarterfinals
Robredo T.,2/9/2008,7.5,US Open,4th Round
Robredo T.,26/06/08,2.87,Wimbledon,2nd Round
Robredo T.,31/05/08,2,French Open,3rd Round
Robredo T.,16/01/08,1.8,Australian Open,2nd Round
Robredo T.,7/9/2009,15,US Open,4th Round
Robredo T.,26/06/09,1.72,Wimbledon,3rd Round
Robredo T.,3/6/2009,4.5,French Open,Quarterfinals
Robredo T.,25/01/09,4.5,Australian Open,4th Round
Robredo T.,7/9/2010,3.5,US Open,4th Round
Robredo T.,21/06/10,1.66,Wimbledon,1st Round
Robredo T.,24/05/10,1.53,French Open,1st Round
Robredo T.,19/01/10,1.1,Australian Open,1st Round
Robredo T.,21/06/11,2.2,Wimbledon,1st Round
Robredo T.,23/01/11,15,Australian Open,4th Round
Robredo T.,31/08/12,1.53,US Open,2nd Round
Robredo T.,5/9/2013,15,US Open,Quarterfinals
Robredo T.,28/06/13,15,Wimbledon,3rd Round
Robredo T.,4/6/2013,11,French Open,Quarterfinals
Robredo T.,15/01/13,2.2,Australian Open,1st Round
Robredo T.,1/9/2014,2.75,US Open,4th Round
Robredo T.,1/7/2014,13,Wimbledon,4th Round
Robredo T.,30/05/14,1.44,French Open,3rd Round
Robredo T.,19/01/14,3.4,Australian Open,4th Round
Robredo T.,4/9/2015,1.61,US Open,3rd Round
Robredo T.,29/06/15,1.25,Wimbledon,1st Round
Robredo T.,28/05/15,1.36,French Open,2nd Round
Robredo T.,19/01/15,1.25,Australian Open,1st Round
Robredo T.,21/01/16,9,Australian Open,2nd Round
Robredo T.,31/05/17,5,French Open,2nd Round
Robredo T.,27/08/2018,5.5,US Open,1st Round
Rochus C.,26/08/03,1.833,US Open,1st Round
Rochus C.,23/06/03,1.833,Wimbledon,1st Round
Rochus C.,28/05/03,3.5,French Open,2nd Round
Rochus C.,15/01/03,3.75,Australian Open,2nd Round
Rochus C.,22/06/04,4.5,Wimbledon,1st Round
Rochus C.,27/05/04,4,French Open,2nd Round
Rochus C.,20/01/04,3.75,Australian Open,1st Round
Rochus C.,30/08/05,1.61,US Open,1st Round
Rochus C.,20/06/05,12,Wimbledon,1st Round
Rochus C.,23/05/05,1.44,French Open,1st Round
Rochus C.,20/01/05,4.5,Australian Open,2nd Round
Rochus C.,31/08/06,2.62,US Open,1st Round
Rochus C.,28/06/06,3.5,Wimbledon,1st Round
Rochus C.,1/6/2006,2.5,French Open,2nd Round
Rochus C.,17/01/06,2.5,Australian Open,1st Round
Rochus C.,29/05/07,2.5,French Open,1st Round
Rochus C.,16/01/07,5,Australian Open,1st Round
Rochus C.,24/06/08,10,Wimbledon,1st Round
Rochus C.,31/08/09,2,US Open,1st Round
Rochus C.,23/06/09,1.72,Wimbledon,1st Round
Rochus C.,30/05/09,7.5,French Open,3rd Round
Rochus C.,20/01/09,34,Australian Open,1st Round
Rochus C.,19/01/10,2.1,Australian Open,1st Round
Rochus O.,26/08/03,2.75,US Open,1st Round
Rochus O.,30/06/03,2.1,Wimbledon,4th Round
Rochus O.,27/05/03,1.5,French Open,1st Round
Rochus O.,16/01/03,4.5,Australian Open,2nd Round
Rochus O.,6/9/2004,2.625,US Open,4th Round
Rochus O.,21/06/04,1.571,Wimbledon,1st Round
Rochus O.,25/05/04,2.5,French Open,1st Round
Rochus O.,20/01/04,3.75,Australian Open,1st Round
Rochus O.,5/9/2005,12,US Open,3rd Round
Rochus O.,23/06/05,2.5,Wimbledon,2nd Round
Rochus O.,26/05/05,3.75,French Open,2nd Round
Rochus O.,23/01/05,4,Australian Open,4th Round
Rochus O.,4/9/2006,2.5,US Open,3rd Round
Rochus O.,1/7/2006,3.25,Wimbledon,3rd Round
Rochus O.,3/6/2006,1.61,French Open,3rd Round
Rochus O.,19/01/06,1.22,Australian Open,2nd Round
Rochus O.,29/08/07,2.2,US Open,1st Round
Rochus O.,26/06/07,4,Wimbledon,1st Round
Rochus O.,29/05/07,2.75,French Open,1st Round
Rochus O.,18/01/07,1.72,Australian Open,2nd Round
Rochus O.,25/08/08,1.22,US Open,1st Round
Rochus O.,25/06/08,5.5,Wimbledon,2nd Round
Rochus O.,25/05/08,1.2,French Open,1st Round
Rochus O.,15/01/08,1.8,Australian Open,1st Round
Rochus O.,3/9/2009,4.5,US Open,2nd Round
Rochus O.,30/08/10,2.5,US Open,1st Round
Rochus O.,21/06/10,6,Wimbledon,1st Round
Rochus O.,26/05/10,1.61,French Open,2nd Round
Rochus O.,18/01/10,9,Australian Open,1st Round
Rochus O.,30/08/11,1.22,US Open,1st Round
Rochus O.,23/06/11,8,Wimbledon,2nd Round
Rochus O.,23/05/11,1.44,French Open,1st Round
Rochus O.,28/08/12,4,US Open,1st Round
Rochus O.,26/06/12,4.5,Wimbledon,1st Round
Rochus O.,28/05/12,2.75,French Open,1st Round
Rochus O.,18/01/12,9,Australian Open,2nd Round
Rochus O.,25/06/13,6,Wimbledon,1st Round
Rochus O.,14/01/13,19,Australian Open,1st Round
Rusedski G.,25/08/03,1.222,US Open,1st Round
Rusedski G.,25/06/03,2.625,Wimbledon,2nd Round
Rusedski G.,27/05/03,7,French Open,1st Round
Rusedski G.,30/08/04,1.8,US Open,1st Round
Rusedski G.,25/06/04,1.833,Wimbledon,2nd Round
Rusedski G.,24/05/04,7.5,French Open,1st Round
Rusedski G.,20/01/04,1.571,Australian Open,1st Round
Rusedski G.,30/08/05,2,US Open,1st Round
Rusedski G.,22/06/05,2.25,Wimbledon,2nd Round
Rusedski G.,24/05/05,2.62,French Open,1st Round
Rusedski G.,20/01/05,7,Australian Open,2nd Round
Rusedski G.,30/08/06,4,US Open,1st Round
Rusedski G.,27/06/06,2.5,Wimbledon,1st Round
Rusedski G.,29/05/06,2.25,French Open,1st Round
Salzenstein J.,27/08/03,2.25,US Open,1st Round
Salzenstein J.,22/06/04,2.1,Wimbledon,1st Round
Salzenstein J.,25/05/04,6,French Open,1st Round
Salzenstein J.,20/01/04,1.615,Australian Open,1st Round
Sanchez D.,27/08/03,3.25,US Open,1st Round
Sanchez D.,24/06/03,4.5,Wimbledon,1st Round
Sanchez D.,26/05/03,NA,French Open,1st Round
Sanchez D.,15/01/03,3,Australian Open,2nd Round
Sanchez D.,3/9/2004,2.375,US Open,2nd Round
Sanchez D.,24/06/04,2.5,Wimbledon,1st Round
Sanchez D.,25/05/04,1.25,French Open,1st Round
Sanchez D.,22/01/04,4,Australian Open,2nd Round
Sanchez D.,28/05/05,3.5,French Open,3rd Round
Sanchez D.,17/01/05,3.39,Australian Open,1st Round
Sanguinetti D.,28/08/03,2.625,US Open,2nd Round
Sanguinetti D.,23/06/03,7.5,Wimbledon,1st Round
Sanguinetti D.,27/05/03,2.2,French Open,1st Round
Sanguinetti D.,13/01/03,2,Australian Open,1st Round
Sanguinetti D.,1/9/2004,8,US Open,1st Round
Sanguinetti D.,24/06/04,4.333,Wimbledon,1st Round
Sanguinetti D.,20/01/04,2,Australian Open,1st Round
Sanguinetti D.,7/9/2005,5.5,US Open,4th Round
Sanguinetti D.,23/06/05,2.37,Wimbledon,2nd Round
Sanguinetti D.,25/05/05,4.5,French Open,2nd Round
Sanguinetti D.,17/01/05,2.5,Australian Open,1st Round
Sanguinetti D.,28/08/06,2.62,US Open,1st Round
Sanguinetti D.,28/06/06,8,Wimbledon,2nd Round
Sanguinetti D.,1/6/2006,5.5,French Open,2nd Round
Sanguinetti D.,19/01/06,2.2,Australian Open,2nd Round
Sanguinetti D.,26/06/07,7,Wimbledon,1st Round
Santoro F.,28/08/03,2.75,US Open,2nd Round
Santoro F.,25/06/03,3,Wimbledon,2nd Round
Santoro F.,29/05/03,2.75,French Open,2nd Round
Santoro F.,17/01/03,3.5,Australian Open,3rd Round
Santoro F.,4/9/2004,10,US Open,3rd Round
Santoro F.,24/06/04,3.4,Wimbledon,2nd Round
Santoro F.,28/05/04,1.727,French Open,3rd Round
Santoro F.,22/01/04,4.333,Australian Open,2nd Round
Santoro F.,3/9/2005,15,US Open,2nd Round
Santoro F.,23/06/05,2.25,Wimbledon,2nd Round
Santoro F.,24/05/05,1.53,French Open,1st Round
Santoro F.,17/01/05,15,Australian Open,1st Round
Santoro F.,30/08/06,2.5,US Open,1st Round
Santoro F.,29/06/06,3.5,Wimbledon,2nd Round
Santoro F.,29/05/06,4.5,French Open,1st Round
Santoro F.,24/01/06,5,Australian Open,Quarterfinals
Santoro F.,30/08/07,6.5,US Open,2nd Round
Santoro F.,28/06/07,1.53,Wimbledon,2nd Round
Santoro F.,29/05/07,5,French Open,1st Round
Santoro F.,20/01/07,6,Australian Open,3rd Round
Santoro F.,28/08/08,7,US Open,1st Round
Santoro F.,24/06/08,9,Wimbledon,1st Round
Santoro F.,29/05/08,9,French Open,2nd Round
Santoro F.,17/01/08,17,Australian Open,2nd Round
Santoro F.,2/9/2009,4.33,US Open,1st Round
Santoro F.,25/06/09,3,Wimbledon,2nd Round
Santoro F.,27/05/09,1.66,French Open,1st Round
Santoro F.,23/01/09,10,Australian Open,3rd Round
Santoro F.,19/01/10,11,Australian Open,1st Round
Saretta F.,31/08/03,8,US Open,3rd Round
Saretta F.,27/06/03,2.2,Wimbledon,3rd Round
Saretta F.,1/6/2003,5.5,French Open,4th Round
Saretta F.,14/01/03,5.5,Australian Open,1st Round
Saretta F.,31/08/04,2.375,US Open,1st Round
Saretta F.,22/06/04,1.571,Wimbledon,1st Round
Saretta F.,25/05/04,2.75,French Open,1st Round
Saretta F.,19/01/04,3.75,Australian Open,1st Round
Saretta F.,26/05/05,4.5,French Open,2nd Round
Saretta F.,18/01/05,1.33,Australian Open,1st Round
Saretta F.,28/08/06,8,US Open,1st Round
Saretta F.,28/06/06,3.5,Wimbledon,1st Round
Saretta F.,31/05/06,6.5,French Open,2nd Round
Sargsian S.,29/08/03,3.5,US Open,2nd Round
Sargsian S.,28/06/03,2.75,Wimbledon,3rd Round
Sargsian S.,29/05/03,1.533,French Open,2nd Round
Sargsian S.,19/01/03,2.25,Australian Open,4th Round
Sargsian S.,6/9/2004,9,US Open,4th Round
Sargsian S.,24/06/04,1.571,Wimbledon,2nd Round
Sargsian S.,24/05/04,1.833,French Open,1st Round
Sargsian S.,22/01/04,1.667,Australian Open,2nd Round
Sargsian S.,20/06/05,NA,Wimbledon,1st Round
Sargsian S.,24/05/05,NA,French Open,1st Round
Sargsian S.,19/01/05,3.75,Australian Open,2nd Round
Saulnier C.,26/08/03,5,US Open,1st Round
Saulnier C.,26/06/03,3.5,Wimbledon,2nd Round
Saulnier C.,26/05/03,6.5,French Open,1st Round
Saulnier C.,2/9/2004,3,US Open,2nd Round
Saulnier C.,24/06/04,2.5,Wimbledon,2nd Round
Saulnier C.,24/05/04,5,French Open,1st Round
Saulnier C.,22/01/04,1.727,Australian Open,2nd Round
Saulnier C.,1/9/2005,3.5,US Open,2nd Round
Saulnier C.,20/06/05,1.83,Wimbledon,1st Round
Saulnier C.,24/05/05,7,French Open,1st Round
Saulnier C.,18/01/05,4.33,Australian Open,1st Round
Saulnier C.,16/01/06,4.5,Australian Open,1st Round
Schalken S.,5/9/2003,7,US Open,Quarterfinals
Schalken S.,3/7/2003,3.75,Wimbledon,Quarterfinals
Schalken S.,31/05/03,2.25,French Open,3rd Round
Schalken S.,15/01/03,1.4,Australian Open,2nd Round
Schalken S.,30/06/04,6.5,Wimbledon,Quarterfinals
Schalken S.,25/01/04,7,Australian Open,4th Round
Schalken S.,17/01/05,5,Australian Open,1st Round
Schuettler R.,4/9/2003,1.5,US Open,4th Round
Schuettler R.,30/06/03,2.25,Wimbledon,4th Round
Schuettler R.,1/6/2003,1.533,French Open,4th Round
Schuettler R.,26/01/03,6.25,Australian Open,The Final
Schuettler R.,31/08/04,1.143,US Open,1st Round
Schuettler R.,27/06/04,1.444,Wimbledon,3rd Round
Schuettler R.,25/05/04,1.4,French Open,1st Round
Schuettler R.,19/01/04,1.333,Australian Open,1st Round
Schuettler R.,1/9/2005,3.25,US Open,2nd Round
Schuettler R.,21/06/05,3,Wimbledon,1st Round
Schuettler R.,23/05/05,4,French Open,1st Round
Schuettler R.,19/01/05,4.5,Australian Open,2nd Round
Schuettler R.,30/08/06,2.1,US Open,1st Round
Schuettler R.,27/06/06,1.83,Wimbledon,1st Round
Schuettler R.,30/05/06,3.2,French Open,1st Round
Schuettler R.,16/01/06,1.57,Australian Open,1st Round
Schuettler R.,27/08/07,2.25,US Open,1st Round
Schuettler R.,15/01/07,6.5,Australian Open,1st Round
Schuettler R.,26/08/08,1.57,US Open,1st Round
Schuettler R.,4/7/2008,29,Wimbledon,Semifinals
Schuettler R.,25/05/08,7,French Open,1st Round
Schuettler R.,16/01/08,2.25,Australian Open,2nd Round
Schuettler R.,31/08/09,1.57,US Open,1st Round
Schuettler R.,24/06/09,1.4,Wimbledon,2nd Round
Schuettler R.,26/05/09,3,French Open,1st Round
Schuettler R.,20/01/09,1.8,Australian Open,1st Round
Schuettler R.,31/08/10,1.5,US Open,1st Round
Schuettler R.,23/06/10,2.37,Wimbledon,2nd Round
Schuettler R.,23/05/10,6,French Open,1st Round
Schuettler R.,20/01/10,2.75,Australian Open,2nd Round
Schuettler R.,22/06/11,3.5,Wimbledon,2nd Round
Schuettler R.,24/05/11,7.5,French Open,1st Round
Schuettler R.,17/01/11,6,Australian Open,1st Round
Sluiter R.,26/08/03,NA,US Open,1st Round
Sluiter R.,26/06/03,1.444,Wimbledon,2nd Round
Sluiter R.,27/05/03,NA,French Open,1st Round
Sluiter R.,14/01/03,NA,Australian Open,1st Round
Sluiter R.,30/08/04,1.8,US Open,1st Round
Sluiter R.,21/06/04,2.25,Wimbledon,1st Round
Sluiter R.,28/05/04,9,French Open,3rd Round
Sluiter R.,20/01/04,1.833,Australian Open,1st Round
Sluiter R.,21/06/05,4.33,Wimbledon,1st Round
Sluiter R.,24/05/05,9,French Open,1st Round
Sluiter R.,18/01/05,2.62,Australian Open,1st Round
Sluiter R.,1/9/2006,9,US Open,2nd Round
Sluiter R.,2/6/2006,2.25,French Open,3rd Round
Sluiter R.,19/01/06,4,Australian Open,2nd Round
Soderling R.,26/08/03,1.727,US Open,1st Round
Soderling R.,28/06/03,6,Wimbledon,3rd Round
Soderling R.,3/9/2004,1.5,US Open,2nd Round
Soderling R.,24/06/04,2.25,Wimbledon,1st Round
Soderling R.,25/05/04,NA,French Open,1st Round
Soderling R.,21/01/04,3.25,Australian Open,2nd Round
Soderling R.,3/9/2005,2.62,US Open,3rd Round
Soderling R.,21/06/05,1.39,Wimbledon,1st Round
Soderling R.,25/05/05,1.44,French Open,2nd Round
Soderling R.,17/01/05,2.25,Australian Open,1st Round
Soderling R.,31/08/06,1.57,US Open,2nd Round
Soderling R.,27/06/06,2.5,Wimbledon,1st Round
Soderling R.,29/05/06,11,French Open,1st Round
Soderling R.,4/7/2007,6,Wimbledon,3rd Round
Soderling R.,29/05/07,1.39,French Open,1st Round
Soderling R.,16/01/07,1.12,Australian Open,1st Round
Soderling R.,25/08/08,1.14,US Open,1st Round
Soderling R.,25/06/08,12,Wimbledon,2nd Round
Soderling R.,31/05/08,1.12,French Open,3rd Round
Soderling R.,10/9/2009,9,US Open,Quarterfinals
Soderling R.,29/06/09,10,Wimbledon,4th Round
Soderling R.,7/6/2009,4,French Open,The Final
Soderling R.,21/01/09,1.57,Australian Open,2nd Round
Soderling R.,9/9/2010,4.33,US Open,Quarterfinals
Soderling R.,30/06/10,2.2,Wimbledon,Quarterfinals
Soderling R.,6/6/2010,4,French Open,The Final
Soderling R.,19/01/10,1.11,Australian Open,1st Round
Soderling R.,25/06/11,1.1,Wimbledon,3rd Round
Soderling R.,1/6/2011,3.6,French Open,Quarterfinals
Soderling R.,24/01/11,1.1,Australian Open,4th Round
Spadea V.,26/08/03,1.727,US Open,1st Round
Spadea V.,23/06/03,2.625,Wimbledon,1st Round
Spadea V.,30/05/03,2.25,French Open,3rd Round
Spadea V.,14/01/03,4.5,Australian Open,1st Round
Spadea V.,3/9/2004,1.571,US Open,2nd Round
Spadea V.,28/06/04,2.25,Wimbledon,4th Round
Spadea V.,26/05/04,1.4,French Open,2nd Round
Spadea V.,19/01/04,1.5,Australian Open,1st Round
Spadea V.,1/9/2005,4,US Open,2nd Round
Spadea V.,21/06/05,4.33,Wimbledon,1st Round
Spadea V.,26/05/05,3.75,French Open,2nd Round
Spadea V.,18/01/05,1.83,Australian Open,1st Round
Spadea V.,4/9/2006,15,US Open,3rd Round
Spadea V.,27/06/06,2.62,Wimbledon,1st Round
Spadea V.,29/05/06,8,French Open,1st Round
Spadea V.,16/01/06,2.2,Australian Open,1st Round
Spadea V.,27/08/07,2.87,US Open,1st Round
Spadea V.,26/06/07,6.5,Wimbledon,1st Round
Spadea V.,29/05/07,3.39,French Open,1st Round
Spadea V.,17/01/07,1.83,Australian Open,2nd Round
Spadea V.,26/08/08,3.75,US Open,1st Round
Spadea V.,23/06/08,2.25,Wimbledon,1st Round
Spadea V.,28/05/08,5,French Open,1st Round
Spadea V.,20/01/08,12,Australian Open,3rd Round
Spadea V.,24/06/09,3.5,Wimbledon,2nd Round
Spadea V.,20/01/09,1.8,Australian Open,1st Round
Squillari F.,26/08/03,3.75,US Open,1st Round
Squillari F.,23/06/03,3.25,Wimbledon,1st Round
Squillari F.,29/05/03,1.615,French Open,2nd Round
Squillari F.,13/01/03,4.333,Australian Open,1st Round
Srichaphan P.,4/9/2003,2.625,US Open,4th Round
Srichaphan P.,30/06/03,5.5,Wimbledon,4th Round
Srichaphan P.,26/05/03,3.5,French Open,1st Round
Srichaphan P.,15/01/03,1.5,Australian Open,2nd Round
Srichaphan P.,4/9/2004,1.5,US Open,3rd Round
Srichaphan P.,21/06/04,1.5,Wimbledon,1st Round
Srichaphan P.,26/05/04,3.5,French Open,2nd Round
Srichaphan P.,25/01/04,4.333,Australian Open,4th Round
Srichaphan P.,4/9/2005,1.36,US Open,3rd Round
Srichaphan P.,20/06/05,4.5,Wimbledon,1st Round
Srichaphan P.,23/05/05,7.5,French Open,1st Round
Srichaphan P.,19/01/05,1.39,Australian Open,2nd Round
Srichaphan P.,31/08/06,1.5,US Open,2nd Round
Srichaphan P.,27/06/06,1.19,Wimbledon,1st Round
Srichaphan P.,29/05/06,6.5,French Open,1st Round
Srichaphan P.,17/01/06,2.37,Australian Open,1st Round
Srichaphan P.,15/01/07,1.66,Australian Open,1st Round
Stepanek R.,30/08/03,5,US Open,3rd Round
Stepanek R.,28/06/03,3,Wimbledon,3rd Round
Stepanek R.,29/05/03,2.75,French Open,2nd Round
Stepanek R.,18/01/03,NA,Australian Open,3rd Round
Stepanek R.,30/08/04,2.375,US Open,1st Round
Stepanek R.,24/06/04,2.375,Wimbledon,2nd Round
Stepanek R.,24/05/04,1.364,French Open,1st Round
Stepanek R.,22/01/04,5.5,Australian Open,2nd Round
Stepanek R.,2/9/2005,2.75,US Open,2nd Round
Stepanek R.,23/06/05,1.33,Wimbledon,2nd Round
Stepanek R.,27/05/05,2.2,French Open,3rd Round
Stepanek R.,22/01/05,3,Australian Open,3rd Round
Stepanek R.,5/7/2006,1.5,Wimbledon,Quarterfinals
Stepanek R.,3/6/2006,1.22,French Open,3rd Round
Stepanek R.,18/01/06,1.53,Australian Open,2nd Round
Stepanek R.,31/08/07,7,US Open,2nd Round
Stepanek R.,25/06/07,1.66,Wimbledon,1st Round
Stepanek R.,30/05/07,1.14,French Open,2nd Round
Stepanek R.,19/01/07,2.37,Australian Open,3rd Round
Stepanek R.,31/08/08,5.5,US Open,3rd Round
Stepanek R.,28/06/08,1.53,Wimbledon,3rd Round
Stepanek R.,2/6/2008,2.37,French Open,4th Round
Stepanek R.,15/01/08,1.22,Australian Open,1st Round
Stepanek R.,8/9/2009,4.5,US Open,4th Round
Stepanek R.,29/06/09,4,Wimbledon,4th Round
Stepanek R.,29/05/09,2,French Open,3rd Round
Stepanek R.,24/01/09,2.5,Australian Open,3rd Round
Stepanek R.,31/08/10,2.37,US Open,1st Round
Stepanek R.,18/01/10,1.36,Australian Open,1st Round
Stepanek R.,1/9/2011,1.22,US Open,2nd Round
Stepanek R.,21/06/11,2.37,Wimbledon,1st Round
Stepanek R.,23/05/11,5,French Open,1st Round
Stepanek R.,20/01/11,1.61,Australian Open,2nd Round
Stepanek R.,28/08/12,1.83,US Open,1st Round
Stepanek R.,29/06/12,23,Wimbledon,3rd Round
Stepanek R.,28/05/12,1.4,French Open,1st Round
Stepanek R.,17/01/12,1.16,Australian Open,1st Round
Stepanek R.,29/08/13,2.75,US Open,1st Round
