Loser,Date,B365L,Tournament,Round
Berdych T.,20/01/17,2.5,Australian Open,3rd Round
Berdych T.,30/05/18,1.5,French Open,1st Round
Berdych T.,24/01/18,5.5,Australian Open,Quarterfinals
Berdych T.,26/08/2019,1.28,US Open,1st Round
Berdych T.,2/7/2019,3,Wimbledon,1st Round
Berdych T.,20/01/2019,5.5,Australian Open,4th Round
Bjorkman J.,4/9/2003,3.5,US Open,4th Round
Bjorkman J.,3/7/2003,5.5,Wimbledon,Quarterfinals
Bjorkman J.,29/05/03,4.5,French Open,2nd Round
Bjorkman J.,1/9/2004,2.1,US Open,1st Round
Bjorkman J.,27/06/04,1.833,Wimbledon,3rd Round
Bjorkman J.,27/05/04,1.909,French Open,2nd Round
Bjorkman J.,20/01/04,1.571,Australian Open,1st Round
Bjorkman J.,1/9/2005,3.75,US Open,2nd Round
Bjorkman J.,25/06/05,2.37,Wimbledon,3rd Round
Bjorkman J.,24/05/05,6,French Open,1st Round
Bjorkman J.,18/01/05,2.75,Australian Open,1st Round
Bjorkman J.,1/9/2006,2.37,US Open,2nd Round
Bjorkman J.,7/7/2006,26,Wimbledon,Semifinals
Bjorkman J.,30/05/06,2,French Open,1st Round
Bjorkman J.,16/01/06,1.25,Australian Open,1st Round
Bjorkman J.,30/08/07,4.5,US Open,2nd Round
Bjorkman J.,5/7/2007,4,Wimbledon,4th Round
Bjorkman J.,4/6/2007,6,French Open,4th Round
Bjorkman J.,17/01/07,17,Australian Open,2nd Round
Bjorkman J.,24/06/08,2.37,Wimbledon,1st Round
Bjorkman J.,26/05/08,3.4,French Open,1st Round
Blake J.,1/9/2003,3.5,US Open,3rd Round
Blake J.,26/06/03,1.4,Wimbledon,2nd Round
Blake J.,29/05/03,2.1,French Open,2nd Round
Blake J.,20/01/03,1.667,Australian Open,4th Round
Blake J.,25/01/04,2.2,Australian Open,4th Round
Blake J.,8/9/2005,2.1,US Open,Quarterfinals
Blake J.,20/06/05,1.57,Wimbledon,1st Round
Blake J.,26/05/05,2.37,French Open,2nd Round
Blake J.,20/01/05,7.5,Australian Open,2nd Round
Blake J.,8/9/2006,7,US Open,Quarterfinals
Blake J.,30/06/06,1.33,Wimbledon,3rd Round
